04/13/2022,海外からの水際対策を早期に緩和してほしい――。クールジャパン戦略推進特別委員会（委員長・世耕弘成自民党参院幹事長）が2月24日に党本部で開いた会合。エンターテインメント業界の関係者は窮状を訴えた。春や夏にはミュージシャンやアイドルのコンサートなどの大きなイベントがある。日本のコンテンツに関心がある人の来日のきっかけとなり得る。人の移動やイベントの開催はこの2年間、新型コロナウイルスの影響で大...,政治,クールジャパン、目立つ旧石破派　海外展開を後押し,https://www.nikkei.com/article/DGXZQOUA119RZ0R10C22A3000000/
04/13/2022,ロシアのプーチン大統領は12日、侵攻したウクライナとの停戦協議について「再び袋小路に陥った」と述べた。ベラルーシのルカシェンコ大統領とロシア極東のボストーチヌイ宇宙基地を訪問した後、侵攻後初となる記者会見で語った。首都キーウ（キエフ）近郊ブチャでの民間人殺害にロシア軍は関与していないと主張し「挑発でありフェイク（偽情報）だ」と強調した。ブチャの市当局は12日時点で、ロシア軍に殺された403人の...,プーチン氏動向・解説,プーチン氏「停戦協議は袋小路」　ウクライナ侵攻,https://www.nikkei.com/article/DGXZQOCB131KC0T10C22A4000000/
04/13/2022,大阪の春の風物詩「桜の通り抜け」が13日、大阪市の造幣局で始まった。2020、21年は新型コロナウイルスの感染拡大で中止となり、開催は3年ぶり。南門から北門までの約560メートルを歩きながら、138品種335本の桜を楽しむことができる。19日まで。造幣局の桜は太平洋戦争中と直後を除き1883年から公開され、2019年は60万人近くが訪れた。感染対策のため今年は事前申込制とし、約17万人の人出を見込む。〔共同〕,関西,3年ぶり「桜の通り抜け」　大阪・造幣局、春の風物詩,https://www.nikkei.com/article/DGXZQOUF131G00T10C22A4000000/
04/13/2022,【NQN香港=桶本典子】13日寄り付きの香港株式相場は反落している。ハンセン指数の始値は前日比126.51ポイント（0.59%）安の2万1192.62だった。その後も軟調に推移している。前日の米株式相場は物価高による需要減への警戒から下落して終えた。香港市場でも米国の景気や金融政策の先行きへの警戒から売りが出ている。新型コロナウイルスの感染拡大が続く中国景気への懸念も根強く、売りが優勢とな...,アジア株概況,香港株寄り付き、反落　米中景気に懸念、中国貿易統計控え様子見も,https://www.nikkei.com/article/DGXZASS0IHK01_T10C22A4000000/
04/13/2022,【NQN香港=須永太一朗】13日の中国・上海株式相場は反落して始まった。上海総合指数の始値は前日比13.5323ポイント（0.42%）安の3199.7972だった。上海市などで新型コロナウイルスの感染拡大が続き、経済活動への悪影...,上海株式相場,上海株寄り付き　反落、景気不安根強く　酒造や保険安い,https://www.nikkei.com/article/DGXZASFL13H79_T10C22A4000000/
04/13/2022,13日午前の東京外国為替市場で円相場は下げに転じている。10時時点は1ドル=125円61～62銭と前日17時時点に比べ9銭の円安・ドル高だった。一時125円64銭近辺まで売られた。日本時間13日の取引でニューヨーク原油先物相場が1バレル101ドル台まで上昇する場面があり、日本の貿易赤字拡大が円売りにつながるとの見方が強まった。12日の米長期金利の低下で朝方は円買い・ドル売りが先行したが、続かなかった。10時前の中値決済に向けては「ドル不足」（国内銀行）との声があった。原油高もあって国内輸入企業による円売り・ドル買いが活発化するとの観測が円相場を下押ししている。円は対ユーロでは高値圏で一進一退となっている。10時時点は1ユーロ=135円84～86銭と前日17時時点に比べ60銭の円高・ユーロ安だった。ユーロ圏景気の先行き不安を背景に、朝からユーロが円やドルに対して売られている。ユーロの対ドル相場は10時時点で1ユーロ=1.0814～15ドルと同0.0056ドルのユーロ安・ドル高だった。〔日経QUICKニュース（NQN）〕,為替概況,外為10時　円、下げに転じる　一時125円64銭　中値「ドル不足」,https://www.nikkei.com/article/DGXZASS0IMF03_T10C22A4000000/
04/13/2022,【NQN香港=川上宗馬】13日午前の日経アジア300指数は反発している。韓国や台湾の大型ハイテク銘柄に値ごろ感を意識した買いが入っている。一方で、中国・上海市の都市封鎖（ロックダウン）に対する懸念が指数の上値を抑えている。韓国のサムスン電子やLG電子、台湾半導...,,アジア300指数・10時30分　反発、韓国・台湾ハイテク株高い,https://www.nikkei.com/article/DGXZASFL13H7B_T10C22A4000000/
04/13/2022,【ワシントン=中村亮】バイデン米大統領は12日、中西部アイオワ州での演説で、ウクライナ侵攻を続けるロシアのプーチン大統領が「ジェノサイド（大量虐殺）」を行っていると非難した。ジェノサイドという言葉を使うのは初めてで、ロシアに対する批判を一段と強めた。バイデン氏は演説で、米国の物価高に触れて「家計や（ガソリンを）満タンにできるかどうかが、地球の反対側で独裁者が戦争を宣言したりジェノサイドをしたりするかどうかに左右されるべきではない」と訴えた。独裁者がプーチン氏を指していることは明白で、ロシア軍による一般市民殺害を糾弾したものだ。バイデン氏は演説後に記者団に対し、ジェノサイドと批判した理由について「プーチンがウクライナ人という概念を消し去ろうとしていることが一段と明確になってきたからだ」と説明した。法的にジェノサイドと認定するかどうかは専門家に委ねるとしつつ「私にはそのように思える」と話した。これまでにバイデン氏は3月中旬、プーチン氏について「彼は戦争犯罪人だと思う」と明言したが、ロシア軍が大量虐殺をしているとの見方は示していなかった。ウクライナのゼレンスキー大統領は首都キーウ（キエフ）近郊で一般市民が殺害されたとして「ジェノサイドだ」と主張していた。,プーチン氏動向・解説,バイデン氏、プーチン氏が「大量虐殺」と初めて言及,https://www.nikkei.com/article/DGXZQOGN1311X0T10C22A4000000/
04/13/2022,13日前場中ごろの東京株式市場で日経平均株価は上げ幅を広げ、前日比310円ほど高い2万6600円台半ばで推移している。グロース（成長）株を中心に断続的に買いが入っている。個別では、ファストリや東エレクは一段高となり、2銘柄で日経平均を100円ほど押し上げている。海運や機械といった景気敏感銘柄の一部にも買いが入っている。市場では「新型コロナウイルスの感染が広がる中国・上海でロックダウン（都市封鎖）措置を一部で緩和する動きがあり、景気減速に対する過度な警戒が和らいできた」（国内証券ストラテジスト）との見方があった。10時現在の東証プライムの売買代金は概算で8252億円、売買高は3億3947万株だった。日製鋼やTOTO、ダイキンが上昇している。東宝やINPEX、キッコマンの上げも目立つ。一方、塩野義は大幅安。KDDIやセブン&アイ、野村も安い。〔日経QUICKニュース（NQN）〕,国内株概況,東証10時　上げ幅広げ310円高　ファストリや東エレクが高い,https://www.nikkei.com/article/DGXZASS0ISS12_T10C22A4000000/
04/13/2022,13日朝方の国内商品先物市場で、原油は3日続伸して取引を始めた。取引量が多い9月物は1キロリットル7万6740円と前日の清算値に比べ1890円高い水準で寄り付いた。新型コロナウイルスの感染拡大を防ぐための都市封鎖（ロックダウン）が続く中国・上海市で行動制限の一部が緩和されたと伝わり、原油需要の減少観測が後退した。ロシア産原油の供給不足を石油輸出国機構（OPEC）では補えず、原油の需給が逼迫すると...,商品概況,商品9時30分　原油が3日続伸、ロシア産原油の供給大幅減との見方　金は4日続伸,https://www.nikkei.com/article/DGXZASQ7IAB01_T10C22A4000000/
