11/02/2021,ゼンリンは天守が現存する12城をデザインしたカレンダーやポストカードなどを発売した。各ページには天守や石垣などの写真をデザインしたほか、周辺の地図と地理条件などを紹介する文を記載する。外出ができなくても旅行気分を味わいたいという需要を取り込む。カレンダーとポストカード、短いメッセージを書き込む「一筆箋」の3種類を用意した。同社が持つ地図データをデザインに活用した。世界遺産で国宝の姫路城（兵庫県姫路市）や国宝の松本城（長野県松本市）など、江戸時代以前に建造され現在まで天守が残っている12の城をデザインした。カレンダーは限定300個の販売で、価格は1650円。ポストカードは全12種類で1枚あたり165円、一筆箋は全3種類で1冊あたり550円。同社の公式通販で販売する。
11/02/2021,野田聖子少子化相は2日の記者会見で、子育て支援に関する政策パッケージを策定するよう内閣官房に指示したと明らかにした。子どもの自殺や虐待問題への対応、出産・育児支援の充実など盛り込む。11月中にもとりまとめ、2021年度補正予算案への反映を目指す。
11/02/2021,【パリ=白石透冴】2022年のフランス大統領選で極右候補が支持を伸ばしている。とくに人口の少ない過疎地域では4割を超す有権者が支持する。移民排斥など極端な主張が不満の受け皿となるのはなぜか。タイヤ大手ブリヂストンが21年4月に工場を閉鎖した、北部の町ベチューンを歩いた。「数百人が失業に追い込まれ、再就職も難しい。国は助けてくれなかった」。パリから北に約180キロのベチューン。ブリヂストン工場の元従業員で有力...
11/02/2021,ファーストリテイリングが2日発表したカジュアル衣料品店「ユニクロ」の10月の国内既存店（直営店、EC含む）の売上高は、前年同月比で4.8%減った。3カ月連続で前年を下回る。10月前半まで気温が高く秋冬商品の販売で苦戦した。後半からは寒くなり、防寒着や「ヒートテック」などが売れたが補えなかった。10月は緊急事態宣言が全面的に解除された。ユニクロでは10月中旬に人気アウトドアブランド「ホワイトマウンテニアリング」と初のコラボ商品も発売するなど、話題作りに努めたが、客足は伸び悩んでいる。既存店客数は前年同月から4.5%減り3カ月連続で前年実績を下回った。客単価も前年同月から0.3%減り8カ月連続の前年割れだった。2020年10月は「巣ごもり需要」で部屋着などが良く売れた反動もあり、「前年超えのハードルが高くなっている」（ファストリ）とする。
11/02/2021,ファミリーマートは2日、飲料を自動で陳列するロボットを報道陣に公開した。人工知能（AI）を使って補充が必要な飲料を判断し、約30秒で1本陳列する。1日稼働させると約10時間の作業を代替する。冷蔵庫内で作業する従業員の負荷軽減にもつながる。ファミマは導入効果などを検証し、他店舗への展開を検討する。10月に経済産業省内の店舗に、ロボット開発のスタートアップ、Telexistence（テレイグジスタン...
11/02/2021,【シドニー=松本史】オーストラリア準備銀行（中央銀行）は2日の理事会で、2024年4月を償還期限とする国債の利回り目標を撤廃することを決めた。週40億豪ドル（3400億円）ペースでの国債の買い入れは「少なくとも22年2月半ばまで続ける」との従来姿勢を維持した。政策金利は過去最低の0.1%に据え置いた。中銀のロウ総裁は声明で利回り目標の撤廃について「経済状況の改善とインフレ目標に向けて予想よりも早い進展があったことを反映したものだ」と述べた。中銀は20年3月、新型コロナウイルスによる経済混乱を受け、残存期間3年の国債利回りを政策金利と同水準に抑える目標を導入した。ただ足元でインフレが加速しており、7～9月期の消費者物価指数（CPI）は変動の大きい品目を除いた「刈り込み平均値」が前年同期比で2.1%上昇した。
11/02/2021,マックスバリュ西日本は、特殊鋼メーカーの広島メタル&マシナリー（東京・新宿）の広製作所（広島県呉市）内に無人店舗を開いた。弁当や飲料など従業員のニーズに合わせた商品を近隣店舗から毎日運び、キャッシュレス決済専用のセルフレジで会計ができるようにした。売り場面積は約23平方メートルで、約300品目の商品を取り扱う。無人店舗の出店は2件目となる。
11/02/2021,ソフトバンクは2日、ペイペイドームで全体練習を行い、藤本新監督や森ヘッドコーチが就任後初めて姿を見せた。4日から宮崎市で始まる秋季キャンプへ向け、新監督は「土台をつくる。明るく元気に厳しくやっていきたい」と話した。藤本監督は練習前に選手、スタッフの前であいさつをし、千賀や柳田ら主力選手と短い言葉を交わした。練習中には小久保2軍監督と話し込む姿も。キャンプでの練習内容などが話に挙がったといい、「量は増えるよ」と笑顔を見せた。チームは主力野手の高齢化に伴い、世代交代が課題。就任会見時から若手の台頭に期待を寄せる監督は「みんなで戦っていかないといけないが、若い選手にとっては今がチャンス。いい競争ができたら」と、キャンプでの猛アピールを望んだ。〔共同〕
11/02/2021,【マニラ=志賀優一】フィリピンで電子決済サービス「Gキャッシュ」を手がけるミントは2日、米大手投資ファンドなどから3億ドル（約340億円）以上を調達すると発表した。国内での競争激化に備え、新たな資金を使って技術開発やサービスの拡充を急ぐ。Gキャッシュはスマートフォンのアプリを通じ、QRコードを活用したキャッシュレス決済や送金などができるサービス。フィリピンの人口の約半分にあたる4800万人以上の利用者がいるとされる。ミントはフィリピンで唯一のユニコーン（企業価値が10億ドル以上の未上場企業）。今回は米大手投資ファンドのウォーバーグ・ピンカスや米ベンチャーキャピタルのインサイト・パートナーズなどから、3億ドル以上の調達を決めた。これによりミントの企業価値は20億ドルを上回る計算になるという。これまでに中国アリババ集団系の金融大手アント・フィナンシャルやフィリピンの財閥大手アヤラなどから出資を受けている。フィリピンでは銀行口座の保有率が低い一方、スマホを通じた決済が今後急速に広がるとみられている。ミントは今回調達する資金で技術開発などを進め、中国ネット大手の騰訊控股（テンセント）などが支援するフィリピンのペイマヤや、シンガポールのグラブなどとの競争激化に備える。
11/02/2021,巨人は2日、ドラフト4位ルーキーとして1年目のシーズンを終えた伊藤優輔投手が1日に横浜市内の病院で右肘内側側副靱帯の再建手術を受けたと発表した。退院後にリハビリを開始する予定。伊藤優は東京・小山台高から中大と三菱パワーを経て入団。今季は1軍での出場はなく、2軍で16試合に登板した。〔共同〕
